"Date","Price","Open","High","Low","Change %"
"Jan 02, 1990","1.1839","1.1839","1.2008","1.1795","-0.66%"
"Jan 03, 1990","1.1778","1.1778","1.1841","1.1729","-0.52%"
"Jan 04, 1990","1.2067","1.2067","1.2104","1.1690","2.45%"
"Jan 05, 1990","1.1985","1.1985","1.2075","1.1904","-0.68%"
"Jan 08, 1990","1.2162","1.2162","1.2173","1.1929","1.48%"
"Jan 09, 1990","1.2115","1.2115","1.2136","1.2012","-0.39%"
"Jan 10, 1990","1.2083","1.2083","1.2185","1.2048","-0.26%"
"Jan 11, 1990","1.2090","1.2090","1.2111","1.1993","0.06%"
"Jan 12, 1990","1.2058","1.2058","1.2151","1.2022","-0.26%"
"Jan 15, 1990","1.2010","1.2010","1.2098","1.2010","-0.40%"
"Jan 16, 1990","1.2020","1.2020","1.2048","1.1887","0.08%"
"Jan 17, 1990","1.2050","1.2050","1.2100","1.1969","0.25%"
"Jan 18, 1990","1.1888","1.1888","1.2020","1.1865","-1.34%"
"Jan 19, 1990","1.1897","1.1897","1.1957","1.1844","0.08%"
"Jan 22, 1990","1.1818","1.1818","1.1871","1.1791","-0.66%"
"Jan 23, 1990","1.2016","1.2016","1.2028","1.1818","1.68%"
"Jan 24, 1990","1.2050","1.2050","1.2132","1.1993","0.28%"
"Jan 25, 1990","1.2082","1.2082","1.2087","1.2024","0.27%"
"Jan 26, 1990","1.2080","1.2080","1.2088","1.2004","-0.02%"
"Jan 29, 1990","1.2146","1.2146","1.2186","1.2079","0.55%"
"Jan 30, 1990","1.2156","1.2156","1.2209","1.2123","0.08%"
"Jan 31, 1990","1.2085","1.2085","1.2148","1.2056","-0.58%"
"Feb 01, 1990","1.2159","1.2159","1.2179","1.2089","0.61%"
"Feb 02, 1990","1.2127","1.2127","1.2181","1.2068","-0.26%"
"Feb 05, 1990","1.2288","1.2288","1.2304","1.2128","1.33%"
"Feb 06, 1990","1.2293","1.2293","1.2324","1.2254","0.04%"
"Feb 07, 1990","1.2271","1.2271","1.2325","1.2240","-0.18%"
"Feb 08, 1990","1.2225","1.2225","1.2239","1.2166","-0.37%"
"Feb 09, 1990","1.2218","1.2218","1.2230","1.2149","-0.06%"
"Feb 12, 1990","1.2178","1.2178","1.2228","1.2161","-0.33%"
"Feb 13, 1990","1.2174","1.2174","1.2180","1.2083","-0.03%"
"Feb 14, 1990","1.2164","1.2164","1.2226","1.2161","-0.08%"
"Feb 15, 1990","1.2045","1.2045","1.2175","1.2044","-0.98%"
"Feb 16, 1990","1.2188","1.2188","1.2192","1.2014","1.19%"
"Feb 19, 1990","1.2174","1.2174","1.2208","1.2136","-0.11%"
"Feb 20, 1990","1.2246","1.2246","1.2247","1.2167","0.59%"
"Feb 21, 1990","1.2224","1.2224","1.2285","1.2209","-0.18%"
