"Date","Price","Open","High","Low","Change %"
"Oct 31, 2013","1.6042","1.6042","1.6071","1.6006","0.02%"
"Nov 01, 2013","1.5926","1.6038","1.6048","1.5909","-0.72%"
"Nov 04, 2013","1.5968","1.5925","1.5980","1.5904","0.26%"
"Nov 05, 2013","1.6046","1.5968","1.6063","1.5947","0.49%"
"Nov 06, 2013","1.6082","1.6046","1.6119","1.6042","0.22%"
"Nov 07, 2013","1.6097","1.6079","1.6114","1.6008","0.09%"
"Nov 08, 2013","1.6018","1.6099","1.6107","1.5958","-0.49%"
"Nov 11, 2013","1.5989","1.6006","1.6023","1.5964","-0.18%"
"Nov 12, 2013","1.5905","1.5989","1.5993","1.5853","-0.53%"
"Nov 13, 2013","1.6058","1.5905","1.6068","1.5878","0.96%"
"Nov 14, 2013","1.6065","1.6057","1.6103","1.5988","0.04%"
"Nov 15, 2013","1.6122","1.6065","1.6136","1.6048","0.35%"
"Nov 18, 2013","1.6110","1.6122","1.6150","1.6082","-0.07%"
"Nov 19, 2013","1.6121","1.6110","1.6134","1.6059","0.07%"
"Nov 20, 2013","1.6105","1.6119","1.6179","1.6087","-0.10%"
"Nov 21, 2013","1.6200","1.6107","1.6203","1.6073","0.59%"
"Nov 22, 2013","1.6226","1.6199","1.6229","1.6178","0.16%"
"Nov 25, 2013","1.6156","1.6229","1.6243","1.6134","-0.43%"
"Nov 26, 2013","1.6216","1.6156","1.6222","1.6140","0.37%"
"Nov 27, 2013","1.6288","1.6215","1.6332","1.6197","0.44%"
"Nov 28, 2013","1.6342","1.6289","1.6360","1.6278","0.33%"
"Nov 29, 2013","1.6368","1.6347","1.6387","1.6315","0.16%"
"Dec 02, 2013","1.6357","1.6363","1.6444","1.6343","-0.07%"
"Dec 03, 2013","1.6392","1.6356","1.6437","1.6346","0.21%"
"Dec 04, 2013","1.6385","1.6393","1.6406","1.6328","-0.04%"
"Dec 05, 2013","1.6334","1.6383","1.6404","1.6300","-0.31%"
"Dec 06, 2013","1.6349","1.6336","1.6395","1.6298","0.09%"
"Dec 09, 2013","1.6430","1.6349","1.6434","1.6323","0.50%"
"Dec 10, 2013","1.6446","1.6430","1.6466","1.6418","0.10%"
"Dec 11, 2013","1.6375","1.6447","1.6460","1.6339","-0.43%"
"Dec 12, 2013","1.6350","1.6376","1.6420","1.6321","-0.15%"
"Dec 13, 2013","1.6299","1.6352","1.6361","1.6262","-0.31%"
"Dec 16, 2013","1.6298","1.6300","1.6349","1.6286","-0.01%"
"Dec 17, 2013","1.6264","1.6300","1.6339","1.6222","-0.21%"
"Dec 18, 2013","1.6391","1.6261","1.6484","1.6260","0.78%"
"Dec 19, 2013","1.6370","1.6392","1.6395","1.6334","-0.13%"
"Dec 20, 2013","1.6336","1.6372","1.6397","1.6317","-0.21%"
"Dec 23, 2013","1.6356","1.6332","1.6377","1.6325","0.12%"
"Dec 24, 2013","1.6376","1.6355","1.6383","1.6322","0.12%"
"Dec 25, 2013","1.6351","1.6376","1.6376","1.6332","-0.15%"
"Dec 26, 2013","1.6412","1.6349","1.6439","1.6347","0.37%"
"Dec 27, 2013","1.6481","1.6413","1.6580","1.6406","0.42%"
"Dec 30, 2013","1.6502","1.6468","1.6534","1.6460","0.13%"
"Dec 31, 2013","1.6558","1.6502","1.6581","1.6474","0.34%"
"Jan 01, 2014","1.6566","1.6559","1.6580","1.6528","0.05%"
"Jan 02, 2014","1.6454","1.6566","1.6606","1.6415","-0.68%"
"Jan 03, 2014","1.6416","1.6454","1.6477","1.6397","-0.23%"
"Jan 06, 2014","1.6406","1.6410","1.6435","1.6338","-0.06%"
"Jan 07, 2014","1.6403","1.6406","1.6440","1.6374","-0.02%"
"Jan 08, 2014","1.6448","1.6403","1.6472","1.6376","0.27%"
"Jan 09, 2014","1.6481","1.6448","1.6497","1.6441","0.20%"
"Jan 10, 2014","1.6482","1.6482","1.6521","1.6402","0.01%"
"Jan 13, 2014","1.6383","1.6479","1.6509","1.6347","-0.60%"
"Jan 14, 2014","1.6441","1.6385","1.6466","1.6368","0.35%"
"Jan 15, 2014","1.6371","1.6439","1.6446","1.6324","-0.43%"
"Jan 16, 2014","1.6354","1.6371","1.6382","1.6317","-0.10%"
"Jan 17, 2014","1.6424","1.6357","1.6461","1.6312","0.43%"
"Jan 20, 2014","1.6431","1.6421","1.6454","1.6397","0.04%"
"Jan 21, 2014","1.6476","1.6430","1.6486","1.6399","0.27%"
"Jan 22, 2014","1.6575","1.6474","1.6586","1.6449","0.60%"
"Jan 23, 2014","1.6637","1.6575","1.6644","1.6555","0.37%"
"Jan 24, 2014","1.6483","1.6639","1.6670","1.6480","-0.93%"
"Jan 27, 2014","1.6585","1.6481","1.6589","1.6473","0.62%"
"Jan 28, 2014","1.6579","1.6586","1.6626","1.6536","-0.04%"
"Jan 29, 2014","1.6562","1.6578","1.6609","1.6527","-0.10%"
"Jan 30, 2014","1.6485","1.6561","1.6567","1.6444","-0.46%"
"Jan 31, 2014","1.6435","1.6488","1.6500","1.6429","-0.30%"
"Feb 03, 2014","1.6305","1.6445","1.6446","1.6288","-0.79%"
"Feb 04, 2014","1.6326","1.6307","1.6345","1.6256","0.13%"
"Feb 05, 2014","1.6309","1.6326","1.6343","1.6252","-0.10%"
"Feb 06, 2014","1.6322","1.6311","1.6351","1.6273","0.08%"
"Feb 07, 2014","1.6412","1.6324","1.6420","1.6300","0.55%"
"Feb 10, 2014","1.6401","1.6411","1.6429","1.6381","-0.07%"
